"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Gongronella",0,118,0,102,103,38,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,59,0,241,40,0,21,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.2",0,0,0,0,0,0,0,361
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,75,0,75,127,0,83,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.9",123,0,82,0,0,94,44,16
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.4",95,0,197,44,0,9,13,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae",0,0,0,357,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.2",8,0,0,0,0,15,0,331
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.2",0,207,82,0,0,0,65,0
"k__Fungi.p__Entorrhizomycota.c__Entorrhizomycetes.o__Entorrhizales.f__Entorrhizaceae.g__Entorrhiza.s__unidentified",51,103,12,31,152,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified",0,56,36,25,84,0,146,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.5",0,175,0,143,28,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.3",21,0,27,0,0,197,23,74
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales",0,0,0,336,0,0,0,6
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae",0,93,0,67,181,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes",0,0,0,0,0,340,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.10",57,0,282,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales",13,4,171,8,0,104,37,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.3",0,337,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.1",292,0,21,0,0,16,0,7
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Savoryellales.f__Savoryellaceae",0,78,70,27,44,10,105,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.6",0,187,0,0,146,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Cylindrocladiella",121,3,80,0,0,10,40,77
"k__Fungi.p__Ascomycota.c__Sordariomycetes.4",273,0,53,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.1",0,55,0,102,157,6,10,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.1",56,6,190,4,0,0,0,71
"k__Fungi.p__Ascomycota.3",0,69,12,0,59,77,103,6
"k__Fungi.p__Ascomycota.c__Sordariomycetes.5",9,53,0,138,12,19,0,94
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS10.f__unidentified.g__unidentified.s__unidentified",4,124,39,7,25,55,70,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.8",107,0,0,108,0,0,0,108
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales",0,0,319,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.3",59,21,58,3,27,25,40,85
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.5",42,0,77,21,43,4,131,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus",0,3,0,3,57,0,249,5
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__unidentified.g__unidentified.s__unidentified",22,0,23,0,0,0,270,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.6",0,80,0,40,161,7,27,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.4",0,21,0,0,12,275,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.5",3,30,0,141,69,64,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.11",5,6,50,0,0,91,61,94
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified",163,0,102,0,0,0,40,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.3",0,144,66,15,51,29,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Pyronemataceae",0,10,6,220,16,49,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.1",10,0,0,37,0,250,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,0,296
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.1",18,0,76,0,0,183,18,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.2",0,266,0,10,18,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.1",78,0,57,0,0,61,0,97
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis.s__unidentified.1",0,289,0,0,0,0,4,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Periconiaceae.g__Periconia",0,49,0,75,168,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.1",27,0,131,0,0,0,131,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae",5,60,5,0,203,9,5,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.6",24,0,0,0,0,0,0,261
"k__Fungi.p__Ascomycota.c__Geoglossomycetes.o__Geoglossales.f__Geoglossaceae.g__Trichoglossum",0,60,0,225,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.2",84,0,142,0,0,0,45,13
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.5",0,0,0,0,0,0,0,283
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.5",0,117,0,27,116,22,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__unidentified.g__unidentified.s__unidentified",68,16,101,16,0,54,0,25
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.7",268,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.6",0,0,0,16,20,241,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.7",0,17,0,0,257,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.3",87,0,67,0,0,44,75,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.8",0,34,86,0,54,0,99,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",46,79,50,14,27,33,0,21
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,0,269
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.3",70,32,0,43,0,68,34,19
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.6",0,0,0,0,0,106,0,159
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.7",0,0,0,0,0,0,0,265
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.9",0,206,0,19,0,0,39,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.11",0,192,0,3,69,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.2",0,16,0,4,240,0,4,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales.f__unidentified.g__unidentified.s__unidentified",20,47,106,31,24,4,30,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.3",15,43,37,81,82,3,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.2",0,0,0,0,0,0,0,261
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__unidentified.g__unidentified.s__unidentified",0,113,0,123,23,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.7",0,0,0,42,20,27,0,170
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.4",67,0,0,0,0,143,48,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.12",0,0,86,0,0,162,0,10
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Chaetosphaeria",171,58,0,11,10,0,6,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.4",20,0,31,0,0,52,149,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.1",236,0,16,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales.f__unidentified.g__unidentified.s__unidentified.1",49,0,0,0,3,0,200,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.3",0,110,26,41,45,0,30,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.5",0,63,0,0,162,0,26,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.8",19,33,15,34,28,120,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS10.f__unidentified.g__unidentified.s__unidentified.1",0,19,17,2,4,0,206,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.13",0,22,0,100,36,0,90,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.7",0,190,0,0,57,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.10",0,0,0,0,0,245,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.6",0,0,0,0,0,0,0,244
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.12",203,0,0,0,0,0,0,39
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified",123,0,38,0,0,37,44,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales",21,24,54,9,4,10,119,0
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Lipomycetaceae.g__Lipomyces",0,86,0,106,48,0,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__unidentified.s__unidentified",0,117,0,80,40,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.6",0,107,0,128,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae",57,0,25,0,0,119,0,31
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae",0,42,34,55,51,0,48,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",0,0,20,176,33,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.1",0,120,0,20,88,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.4",0,0,0,0,0,0,228,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,0,156,0,0,4,67,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales",215,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.6",226,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.7",0,226,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.8",0,0,0,226,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.4",25,0,111,0,0,9,9,70
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified",156,2,62,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.4",142,0,51,0,0,0,0,25
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae",0,0,0,21,26,6,164,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.9",18,0,70,0,0,72,23,33
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,13,140,0,62,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.8",19,33,99,19,0,3,41,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified.1",0,0,0,0,0,0,0,212
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.g__Coniochaeta.s__unidentified",0,62,73,7,23,0,44,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.5",0,0,0,0,0,0,206,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.8",0,0,0,0,205,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus",0,24,0,0,180,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.8",0,101,0,0,103,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.4",0,0,0,98,0,106,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Mariannaea",4,108,0,50,28,0,6,7
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.5",11,0,62,0,0,0,0,129
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,78,0,124
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae",142,0,26,0,0,0,6,27
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae",56,0,43,0,0,0,102,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Phallales.f__Clathraceae",0,152,44,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.1",0,6,4,42,148,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales",0,0,0,0,0,0,200,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Venturiaceae.g__Venturia",0,0,0,0,0,0,0,200
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.1",0,66,0,73,60,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.5",0,0,0,0,0,0,0,198
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.4",0,0,0,0,0,0,0,198
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.5",37,0,101,0,0,0,59,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.5",197,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.1",0,0,0,36,161,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.9",21,17,27,0,10,20,101,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.11",0,0,196,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae",13,0,50,0,0,0,131,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Cladophialophora",14,47,30,22,74,6,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinellus",68,0,62,0,0,0,62,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.1",7,3,94,0,42,0,45,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.9",0,48,0,13,130,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.13",153,0,37,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Marasmiaceae",0,0,190,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Gliophorus",0,0,0,0,0,0,0,187
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.6",0,0,0,0,0,0,0,184
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.14",0,0,0,0,0,0,0,184
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.15",0,0,0,0,0,0,0,183
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.10",41,0,141,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Plectosphaerella",0,49,16,27,52,8,30,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.2",0,77,6,27,17,0,55,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis",9,135,21,3,12,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lycoperdaceae",9,35,18,30,87,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.1",109,0,36,0,0,10,0,24
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.1",0,0,0,0,0,179,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.1",71,0,0,0,89,0,17,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.2",0,0,2,6,144,0,25,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.6",22,0,0,0,0,148,0,5
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.2",0,12,151,0,0,0,12,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.11",0,0,174,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.2",0,0,0,0,0,50,0,124
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.3",0,0,0,174,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Mariannaea.1",81,5,10,12,4,61,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.14",0,34,11,40,88,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.12",0,0,0,173,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Graphiaceae.g__Graphium",76,42,17,0,2,3,29,3
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Chaetosphaeria.1",9,54,31,6,3,0,69,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified",0,58,9,9,48,0,48,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.2",0,78,0,39,55,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.3",0,0,0,4,0,168,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.2",151,0,0,0,0,0,20,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.16",107,0,41,0,23,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.1",0,0,13,0,0,0,158,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.3",80,0,0,0,0,90,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.5",14,149,0,4,0,2,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.6",9,0,27,0,0,3,0,129
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.7",94,0,0,0,0,0,73,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.6",27,0,93,0,0,0,47,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.15",0,0,57,0,110,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.10",0,0,0,0,0,10,0,157
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__unidentified.g__unidentified.s__unidentified.1",166,0,0,0,0,0,0,0
"k__Fungi.1",24,0,15,0,0,0,126,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.17",0,0,0,0,0,46,0,117
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes",0,13,0,0,22,0,127,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Magnaporthiopsis",0,75,0,14,71,0,2,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.12",0,0,0,0,0,0,0,162
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.g__Cutaneotrichosporon",10,0,7,0,0,26,118,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.3",0,0,0,0,161,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.2",29,19,22,2,44,0,44,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.9",17,0,45,0,0,43,50,5
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.10",0,0,0,0,0,0,0,160
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Chaetosphaeria.2",5,4,10,5,0,91,36,8
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.11",38,27,0,38,37,11,8,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,159,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.11",0,28,0,0,130,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__unidentified.g__unidentified.s__unidentified.2",157,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.12",0,157,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.3",12,8,44,31,47,0,14,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.6",0,43,0,0,99,0,14,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.2",11,14,31,0,0,80,18,0
"k__Fungi.p__Basidiomycota.3",0,0,0,0,154,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.18",0,117,0,35,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.3",2,37,12,64,36,0,0,0
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.2",3,0,5,0,0,143,0,0
